"Name","batch_size","epochs","layers","lr","optimizer","activations","epoch"
"regression_ep1000_lr0.001_bs32_ls[16, 8, 1]_actstanh","32","1000","[16,8,1]","0.001","mini_bgd","tanh","999"
"regression_ep1000_lr0.01_bs256_ls[64, 32, 1]_actsrelu","256","1000","[64,32,1]","0.01","mini_bgd","relu","999"
"regression_ep500_lr0.0001_bs64_ls[16, 1]_actssigmoid","64","500","[16,1]","0.0001","bgd","sigmoid","499"
"regression_ep500_lr0.01_bs32_ls[64, 16, 1]_actssigmoid","32","500","[64,16,1]","0.01","mini_bgd","sigmoid","499"
"regression_ep100_lr0.01_bs256_ls[16, 8, 1]_actsrelu","256","100","[16,8,1]","0.01","sgd","relu","99"
"regression_ep500_lr0.01_bs64_ls[64, 16, 1]_actsrelu","64","500","[64,16,1]","0.01","mini_bgd","relu","499"
"regression_ep500_lr0.001_bs256_ls[16, 1]_actstanh","256","500","[16,1]","0.001","mini_bgd","tanh","499"
"regression_ep500_lr0.0001_bs256_ls[1]_actstanh","256","500","[1]","0.0001","bgd","tanh","499"
"regression_ep1000_lr0.0001_bs256_ls[64, 32, 16, 1]_actstanh","256","1000","[64,32,16,1]","0.0001","bgd","tanh","999"
"regression_ep1000_lr0.001_bs256_ls[16, 8, 1]_actstanh","256","1000","[16,8,1]","0.001","mini_bgd","tanh","999"
"regression_ep1000_lr0.001_bs256_ls[64, 32, 16, 1]_actstanh","256","1000","[64,32,16,1]","0.001","mini_bgd","tanh","999"
"regression_ep500_lr0.001_bs256_ls[16, 1]_actstanh","256","500","[16,1]","0.001","bgd","tanh","499"
"regression_ep500_lr0.0001_bs256_ls[64, 32, 1]_actssigmoid","256","500","[64,32,1]","0.0001","bgd","sigmoid","499"
"regression_ep50_lr0.001_bs256_ls[16, 8, 1]_actstanh","256","50","[16,8,1]","0.001","bgd","tanh","49"
"regression_ep100_lr0.0001_bs64_ls[64, 32, 1]_actsrelu","64","100","[64,32,1]","0.0001","mini_bgd","relu","99"
"regression_ep500_lr0.1_bs256_ls[16, 1]_actssigmoid","256","500","[16,1]","0.1","mini_bgd","sigmoid","499"
"regression_ep500_lr0.0001_bs256_ls[64, 32, 16, 1]_actstanh","256","500","[64,32,16,1]","0.0001","bgd","tanh","499"
"regression_ep100_lr0.01_bs32_ls[16, 8, 1]_actssigmoid","32","100","[16,8,1]","0.01","mini_bgd","sigmoid","99"