"Name","activations","batch_size","epochs","layers","lr","optimizer","thresh","epoch","train accuracy","train f1_score","train loss","train precision","train recall","val accuracy","val f1_score","val loss","val precision","val recall"
"mlp_single_ep50_lr0.01_bs32_ls[32, 16, 6]_actsrelu","relu","32","50","[32,16,6]","0.01","sgd","0.3","49","0.675054704595186","0.32903959507055053","-0.8036967330974824","0.3331067588325653","0.3250705517144067","0.6666666666666666","0.2985555947435797","-0.8010901138567694","0.3024243401601892","0.2947845804988662"
"mlp_single_ep100_lr0.1_bs32_ls[32, 16, 6]_actsrelu","relu","32","100","[32,16,6]","0.1","sgd","0.5","99","0.7713347921225383","0.6826575283285862","-0.5891755371553187","0.673822946149151","0.6917268509832359","0.6403508771929824","0.2985385188127046","-1.6457198407828737","0.30427639736150375","0.2930130385487528"
"mlp_single_ep500_lr0.1_bs32_ls[15, 6]_actsrelu","relu","32","500","[15,6]","0.1","sgd","0.9","499","0.7155361050328227","0.6790551375554038","-0.66706714489356","0.794879073690668","0.5926923628242945","0.6491228070175439","0.29057819478545854","-1.8252605822572552","0.29329527155614116","0.2879109977324263"
"mlp_single_ep500_lr0.1_bs32_ls[64, 32, 6]_actstanh","tanh","32","500","[64,32,6]","0.1","sgd","0.9","499","1","1","-0.0009646540817958884","1","1","0.631578947368421","0.2922647564575307","-2.823893158493868","0.3041774332472007","0.28125"
"mlp_single_ep500_lr0.1_bs32_ls[64, 16, 6]_actsrelu","relu","32","500","[64,16,6]","0.1","sgd","0.7","499","0.986870897155361","0.98417000524358","-0.035180178799438355","0.9937961960666154","0.9747285094223151","0.6228070175438597","0.2840030359494707","-4.4152917412059045","0.28217393076186403","0.2858560090702948"
"mlp_single_ep500_lr0.1_bs32_ls[64, 32, 6]_actstanh","tanh","32","500","[64,32,6]","0.1","sgd","0.9","499","1","1","-0.0008912871568965893","1","1","0.6754385964912281","0.3204396945218267","-2.5773882880168952","0.32601591361182153","0.3150510204081633"
"mlp_single_ep500_lr0.1_bs32_ls[64, 16, 6]_actsrelu","relu","32","500","[64,16,6]","0.1","sgd","0.7","499","0.9846827133479212","0.9900598635285126","-0.03480436340569948","0.993933025080566","0.9862167707024488","0.6754385964912281","0.32626320092912403","-4.527966895229074","0.3383028792912514","0.3150510204081633"
"mlp_single_ep500_lr0.1_bs32_ls[64, 16, 6]_actssigmoid","sigmoid","32","500","[64,16,6]","0.1","sgd","0.7","499","0.975929978118162","0.9441379019004196","-0.09946711813525796","0.9597822134624168","0.928995410778958","0.631578947368421","0.29063222430195346","-2.0029311232857587","0.30114942528735633","0.28082482993197283"
"mlp_single_ep1000_lr0.01_bs32_ls[15, 6]_actsrelu","relu","32","1000","[15,6]","0.01","sgd","0.3","999","0.7177242888402626","0.6147133599300298","-0.681152455956256","0.7761803729745335","0.5088570096789371","0.6052631578947368","0.2628544587454599","-1.295261307553585","0.2722222222222222","0.25410997732426305"
"mlp_single_ep1000_lr0.01_bs32_ls[32, 16, 6]_actsrelu","relu","32","1000","[32,16,6]","0.01","sgd","0.3","999","0.9978118161925602","0.9991169590300988","-0.02304226735384643","0.9991111111111112","0.999122807017544","0.6403508771929824","0.30423071397787677","-4.719233468127652","0.3161764705882353","0.2931547619047619"
"mlp_single_ep1000_lr0.1_bs32_ls[64, 32, 6]_actsrelu","relu","32","1000","[64,32,6]","0.1","sgd","0.5","999","0.9967177242888404","0.9959127265255556","-0.006924325275193192","0.9986702127659576","0.9931704260651628","0.6491228070175439","0.32099236409937654","-4.381031655059509","0.3290164550668752","0.3133503401360544"
"mlp_single_ep1000_lr0.001_bs32_ls[32, 16, 6]_actsrelu","relu","32","1000","[32,16,6]","0.001","sgd","0.7","999","0.7286652078774617","0.4922566353560291","-0.65963652750508","0.619029881796708","0.4085817761562082","0.6228070175438597","0.2981319320396682","-1.042796839197541","0.2935465768799102","0.3028628117913832"
"mlp_single_ep1000_lr0.1_bs32_ls[32, 16, 6]_actsrelu","relu","32","1000","[32,16,6]","0.1","sgd","0.7","999","0.8293216630196937","0.783941474983632","-0.6379180287400056","0.8542559089150622","0.7243219971631146","0.6403508771929824","0.31075106638518635","-4.248547910866852","0.3115573152337858","0.3099489795918367"
"mlp_single_ep1000_lr0.1_bs32_ls[32, 16, 6]_actstanh","tanh","32","1000","[32,16,6]","0.1","sgd","0.9","999","1","1","-0.0009989499007640335","1","1","0.6578947368421053","0.305276121183651","-2.968520171112415","0.3108628841607565","0.2998866213151927"
"mlp_single_ep1000_lr0.01_bs64_ls[64, 16, 6]_actsrelu","relu","64","1000","[64,16,6]","0.01","bgd","0.7","999","0.5809628008752735","0.21292197925486547","-1.0431263338924837","0.19467435712569095","0.23494426414561875","0.6403508771929824","0.2315881230211037","-0.9392532364790964","0.21512527064645837","0.2507794784580499"
"mlp_single_ep500_lr0.01_bs64_ls[64, 32, 6]_actsrelu","relu","64","500","[64,32,6]","0.01","sgd","0.5","499","0.9978118161925602","0.9986095652465392","-0.028270877784780157","0.998113279318346","0.9991063449508488","0.6403508771929824","0.27890272714733155","-2.993697130380973","0.28208270120978723","0.27579365079365076"
"mlp_single_ep500_lr0.01_bs64_ls[64, 32, 6]_actsrelu","relu","64","500","[64,32,6]","0.01","sgd","0.5","499","0.99890590809628","0.999557885342716","-0.01680899214755228","0.999554367201426","0.999561403508772","0.6140350877192983","0.2853876730801588","-3.569945865859411","0.288382250174703","0.2824546485260771"
"mlp_single_ep100_lr0.001_bs32_ls[15, 6]_actsrelu","relu","32","100","[15,6]","0.001","sgd","0.5","99","0.5776805251641138","0.2541922014237837","-0.9976590140085044","0.270545766559434","0.2397029772823479","0.6228070175438597","0.22397244180744336","-0.8565746542629412","0.20720443349753695","0.2436933106575964"
"mlp_single_ep50_lr0.001_bs128_ls[6]_actstanh","tanh","128","50","[6]","0.001","bgd","0.7","49","0.38183807439824946","0.1569434413889506","-1.533826793744676","0.15544362988277663","0.15847247699230202","0.3771929824561403","0.1602934296654264","-1.381983900276298","0.1642384902031494","0.15653344671201816"
"mlp_single_ep100_lr0.001_bs32_ls[15, 6]_actstanh","tanh","32","100","[15,6]","0.001","sgd","0.3","99","0.6039387308533917","0.2873258854882026","-0.9516320061432084","0.29301263715362685","0.28185566687048275","0.5964912280701754","0.2485918706511764","-0.8212038750644347","0.2470611051438119","0.25014172335600904"